Account,Name,Description1,Description2,PL
248002,0,NovA GROUP TRAVEL AGENT COMM,,November Accrual Entry
414001,94.54,NovA Le Boulanger 11/14,Le Boulanger 11/14,F&B - Food Cost
248002,-94.54,NovA Le Boulanger 11/14,Le Boulanger 11/14,November Accrual Entry
414001,70.03,NovA Le Boulanger 11/15,Le Boulanger 11/15,F&B - Food Cost
248002,-70.03,NovA Le Boulanger 11/15,Le Boulanger 11/15,November Accrual Entry
414001,55.06,NovA Le Boulanger 11/16,Le Boulanger 11/16,F&B - Food Cost
248002,-55.06,NovA Le Boulanger 11/16,Le Boulanger 11/16,November Accrual Entry
414001,84.56,NovA Le Boulanger 11/17,Le Boulanger 11/17,F&B - Food Cost
248002,-84.56,NovA Le Boulanger 11/17,Le Boulanger 11/17,November Accrual Entry
414001,76.37,NovA Le Boulanger 11/18,Le Boulanger 11/18,F&B - Food Cost
248002,-76.37,NovA Le Boulanger 11/18,Le Boulanger 11/18,November Accrual Entry
414001,113.56,NovA Le Boulanger 11/19,Le Boulanger 11/19,F&B - Food Cost
248002,-113.56,NovA Le Boulanger 11/19,Le Boulanger 11/19,November Accrual Entry
414001,45.31,NovA Le Boulanger 11/21,Le Boulanger 11/21,F&B - Food Cost
248002,-45.31,NovA Le Boulanger 11/21,Le Boulanger 11/21,November Accrual Entry
414001,73.33,NovA Le Boulanger 11/22,Le Boulanger 11/22,F&B - Food Cost
248002,-73.33,NovA Le Boulanger 11/22,Le Boulanger 11/22,November Accrual Entry
414001,222.82,NovA Le Boulanger 11/23,Le Boulanger 11/23,F&B - Food Cost
248002,-222.82,NovA Le Boulanger 11/23,Le Boulanger 11/23,November Accrual Entry
414001,51.05,NovA Le Boulanger 11/25,Le Boulanger 11/25,F&B - Food Cost
248002,-51.05,NovA Le Boulanger 11/25,Le Boulanger 11/25,November Accrual Entry
414001,68.66,NovA Le Boulanger 11/26,Le Boulanger 11/26,F&B - Food Cost
248002,-68.66,NovA Le Boulanger 11/26,Le Boulanger 11/26,November Accrual Entry
414001,35.63,NovA Le Boulanger 11/28,Le Boulanger 11/28,F&B - Food Cost
248002,-35.63,NovA Le Boulanger 11/28,Le Boulanger 11/28,November Accrual Entry
414001,80.86,NovA Le Boulanger 11/29,Le Boulanger 11/29,F&B - Food Cost
248002,-80.86,NovA Le Boulanger 11/29,Le Boulanger 11/29,November Accrual Entry
414001,342.25,NovA Sweet P 11/22-11/28,Sweet P 11/22-11/28,F&B - Food Cost
248002,-342.25,NovA Sweet P 11/22-11/28,Sweet P 11/22-11/28,November Accrual Entry
601101,39.08,NovA Sweet P 11/22-11/28,Sweet P 11/22-11/28,MKT & SALES - Promotions
248002,-39.08,NovA Sweet P 11/22-11/28,Sweet P 11/22-11/28,November Accrual Entry
414001,"2,158.10",NovA LA&SF Spec 11/21-11/26,LA&SF Spec 11/21-11/26,F&B - Food Cost
248002,"-2,158.10",NovA LA&SF Spec 11/21-11/26,LA&SF Spec 11/21-11/26,November Accrual Entry
411120,785.13,NovA LA&SF Spec 11/21-11/26,LA&SF Spec 11/21-11/26,F&B - Other
248002,-785.13,NovA LA&SF Spec 11/21-11/26,LA&SF Spec 11/21-11/26,November Accrual Entry
602301,30.74,NovA LA&SF Spec 11/21-11/26,LA&SF Spec 11/21-11/26,ROOMS - Other
248002,-30.74,NovA LA&SF Spec 11/21-11/26,LA&SF Spec 11/21-11/26,November Accrual Entry
414001,273.38,NovA LA&SF.Spec11/28-3099535,LA&SF.Spec11/28-3099535,F&B - Food Cost
248002,-273.38,NovA LA&SF.Spec11/28-3099535,LA&SF.Spec11/28-3099535,November Accrual Entry
411120,127.9,NovA LA&SF.Spec11/28-3099535,LA&SF.Spec11/28-3099535,F&B - Other
248002,-127.9,NovA LA&SF.Spec11/28-3099535,LA&SF.Spec11/28-3099535,November Accrual Entry
652302,684.57,NovA Holiday Party,Holiday Party,G&A - Employee Relations
248002,-684.57,NovA Holiday Party,Holiday Party,November Accrual Entry
618001,133.05,NovA Amy Cellphone,Amy Cellphone,Info/Telecom Systems - Other
248002,-133.05,NovA Amy Cellphone,Amy Cellphone,November Accrual Entry
634105,620.21,NovA ambius,ambius,REPAIRS AND MAINTENANCE - R&M Contracts
248002,-620.21,NovA ambius,ambius,November Accrual Entry
632101,"1,036.04",NovA AAF Filters,AAF Filters,REPAIRS AND MAINTENANCE - R&M Non Contracts
248002,"-1,036.04",NovA AAF Filters,AAF Filters,November Accrual Entry
350091,"20,913.66",NovA Townepark,Townepark,SALES - Other
248002,"-20,913.66",NovA Townepark,Townepark,November Accrual Entry
350091,,NovA GUEST PARKING TRN,,SALES - Other
248002,0,NovA GUEST PARKING TRN,,November Accrual Entry
602406,307.7,NovA Five Star,Five Star,F&B - Other
248002,-307.7,NovA Five Star,Five Star,November Accrual Entry
602406,94.5,NovA Five Star,Five Star,ROOMS - Laundry
248002,-94.5,NovA Five Star,Five Star,November Accrual Entry
380212,825.15,NovA Five Star,Five Star,SALES - Other
248002,-825.15,NovA Five Star,Five Star,November Accrual Entry
580114,"2,229.61",NovA Five Star,Five Star,ROOMS - Benefits/Bonus % Wages
248002,"-2,229.61",NovA Five Star,Five Star,November Accrual Entry
616211,188.96,NovA Shred it,Shred it,G&A - Outside Labor Services
248002,-188.96,NovA Shred it,Shred it,November Accrual Entry
631206,187.50,NovA fitguard,fitguard,REPAIRS AND MAINTENANCE - R&M Contracts
248002,-187.50,NovA fitguard,fitguard,November Accrual Entry
610201,844.97,NovA GUEST SUPPLIES,,ROOMS - Guest Supplies
248002,-844.97,NovA GUEST SUPPLIES,,November Accrual Entry
610107,"1,026.89",NovA LAUNDRY SUPPLIES,,ROOMS - Laundry
248002,"-1,026.89",NovA LAUNDRY SUPPLIES,,November Accrual Entry
610105,"1,205.13",NovA LINEN,,ROOMS - Linen
248002,"-1,205.13",NovA LINEN,,November Accrual Entry
610106,498.62,NovA CLEANING SUPPLIES,,ROOMS - Cleaning Supplies
248002,-498.62,NovA CLEANING SUPPLIES,,November Accrual Entry
618115,"1,923.71",MayA inv. 4288983301,inv. 4288983301,Info/Telecom Systems - Other
248002,"-1,923.71",MayA inv. 4288983301,inv. 4288983301,May Accrual Entry
610105,"2,567.20",NovA AmerHotel#8414480,AmerHotel#8414480,ROOMS - Linen
248002,"-2,567.20",NovA AmerHotel#8414480,AmerHotel#8414480,November Accrual Entry
610125,580.82,NovA Wasserstrom94096883307,Wasserstrom94096883307,ROOMS - Suite Supplies
248002,-580.82,NovA Wasserstrom94096883307,Wasserstrom94096883307,November Accrual Entry
610125,429.71,NovA Wasserstrom9409850410,Wasserstrom9409850410,ROOMS - Suite Supplies
248002,-429.71,NovA Wasserstrom9409850410,Wasserstrom9409850410,November Accrual Entry
630003,685,NovA BILL HOWE PLUMBING,BILL HOWE PLUMBING,REPAIRS AND MAINTENANCE - R&M Non Contracts
248002,-685,NovA BILL HOWE PLUMBING,BILL HOWE PLUMBING,November Accrual Entry
632101,436.92,NovA CULLIGAN,CULLIGAN,REPAIRS AND MAINTENANCE - R&M Non Contracts
248002,-436.92,NovA CULLIGAN,CULLIGAN,November Accrual Entry
632101,"1,427.46",NovA MASTER LANDSCAPE,MASTER LANDSCAPE,REPAIRS AND MAINTENANCE - R&M Non Contracts
248002,"-1,427.46",NovA MASTER LANDSCAPE,MASTER LANDSCAPE,November Accrual Entry
632104,570.46,NovA SHERWIN WILLIAMS CO.,SHERWIN WILLIAMS CO.,REPAIRS AND MAINTENANCE - R&M Non Contracts
248002,-570.46,NovA SHERWIN WILLIAMS CO.,SHERWIN WILLIAMS CO.,November Accrual Entry
601108,"1,575.66",NovA COMP CONTINENTAL BREAKFAS,,ROOMS - Comp F&B
248002,"-1,575.66",NovA COMP CONTINENTAL BREAKFAS,,November Accrual Entry
601109,763.23,NovA COMPLIMENTARY EVENING FOO,,ROOMS - Comp F&B
248002,-763.23,NovA COMPLIMENTARY EVENING FOO,,November Accrual Entry
610122,263.89,NovA COMP F & B SUPPLIES,,ROOMS - Comp F&B
248002,-263.89,NovA COMP F & B SUPPLIES,,November Accrual Entry
631206,566.5,NovA MC - OTHER MAINTENANCE CO,,REPAIRS AND MAINTENANCE - R&M Contracts
248002,-566.5,NovA MC - OTHER MAINTENANCE CO,,November Accrual Entry
632101,927.2,NovA BUILDING REPAIR,,REPAIRS AND MAINTENANCE - R&M Non Contracts
248002,-927.2,NovA BUILDING REPAIR,,November Accrual Entry
630019,744.29,NovA KITCHEN EQUIP REPAIR,,REPAIRS AND MAINTENANCE - R&M Non Contracts
248002,-744.29,NovA KITCHEN EQUIP REPAIR,,November Accrual Entry
601101,738.31,NovA HOSPITALITY,,MKT & SALES - Promotions
248002,-738.31,NovA HOSPITALITY,,November Accrual Entry
740002,514.21,NovA LEASE EXPENSE,,INVESTMENT FACTOR - Lease Payments
248002,-514.21,NovA LEASE EXPENSE,,November Accrual Entry
701132,641.11,NovA COMMON AREA CHGS,,INVESTMENT FACTOR - Other
248002,-641.11,NovA COMMON AREA CHGS,,November Accrual Entry
